smiles,pACT
C=CC1(C)CC(OC(=O)CSc2ccccc2NC(=O)CN2CC(CN3CCN(c4ccc(F)cc4)CC3)N=N2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.5
C=CC1(C)CC(OC(=O)CSc2ccccc2NC(=O)CN2CC(CN3CCN(c4cccc(Cl)c4)CC3)N=N2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,1
C=CC1(C)CC(OC(=O)CSc2ccccc2NC(=O)CN2CC(CN3CCN(c4ccc(OC)cc4)CC3)N=N2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.5
C=CC1(C)CC(OC(=O)CSc2ccccc2NC(=O)CN2CC(CN3CCN(c4cccc(O)c4)CC3)N=N2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
C=CC1(C)CC(OC(=O)CSc2ccccc2NC(=O)CN2CC(CN3CCN(c4ccc([N+](=O)[O-])cc4)CC3)N=N2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.125
C=CC1(C)CC(OC(=O)CSC2CCC(C(=O)OCC)CC2NS(=O)(=O)c2ccc(Cl)cc2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,1
C=CC1(C)CC(OC(=O)CSC2CCC(C(=O)OCC)CC2NS(=O)(=O)c2ccc([N+](=O)[O-])cc2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,1
C=CC1(C)CC(OC(=O)CSC2CCC(C(=O)OCC)CC2NS(=O)(=O)c2ccc(C#N)cc2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,1
C=CC1(C)CC(OC(=O)CSC2CCC(C(=O)OCC)CC2NS(=O)(=O)c2ccc(C(C)=O)cc2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
C=CC1(C)CC(OC(=O)CSC2CCC(C(=O)OCC)CC2NS(=O)(=O)c2ccc(NC(C)=O)cc2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.5
C=CC1(C)CC(OC(=O)CSc2nc(C)cc(N(C)C)n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.0635
C=CC1(C)CC(OC(=O)CSc2nc(C)cc(N(CC)CC)n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.123
C=CC1(C)CC(OC(=O)CSc2nc(C)cc(N3CCCC3)n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.033
C=CC1(C)CC(OC(=O)CSc2nc(C)cc(N3CCC(O)C3)n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.0628
C=CC1(C)CC(OC(=O)CSc2nc(C)cc(N3CCNCC3)n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.0627
C=CC1(C)CC(OC(=O)CSc2nc(C)cc(N3CCN(C)CC3)n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
C=CC1(C)CC(OC(=O)CSc2nc(C)cc(N3CCOCC3)n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.0628
C=CC1(C)CC(OC(=O)CSc2nc(C)cc(N3CCC(O)CC3)n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.123
C=CC1(C)CC(OC(=O)CSc2nc(C)cc(N3CCC(CO)CC3)n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.125
C=CC1(C)CC(OC(=O)CSc2nc(C)cc(N3CCC(CCO)CC3)n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.061
C=CC1(C)CC(OC(=O)CSc2nc(C)cc(N3CCN(CCO)CC3)n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.06
C=CC1(C)CC(OC(=O)CSc2nc(C)cc(OC)n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.124
C=CC1(C)CC(OC(=O)CSc2nc(C)cc(OCC)n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.064
C=CC1(C)CC(OC(=O)CSc2nc(C)cc(OC(C)C)n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
C=CC1(C)CC(OC(=O)CSc2nc(C)cc(OCCN)n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.5
C=CC1(C)CC(OC(=O)CSc2ccc(Nc3nc(Cl)nc4c3cnn4-c3cccc(C)c3)cc2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
C=CC1(C)CC(OC(=O)CSc2ccc(Nc3nc(Cl)nc4c3cnn4-c3ccc(F)cc3)cc2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
C=CC1(C)CC(OC(=O)CSc2ccc(Nc3nc(Cl)nc4c3cnn4-c3ccc(F)c(F)c3)cc2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
C=CC1(C)CC(OC(=O)CSc2ccc(Nc3nc(Cl)nc4c3cnn4-c3ccc(OC(F)(F)F)cc3)cc2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.5
C=CC1(C)CC(OC(=O)CSc2ncnc(N)n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.125
C=CC1(C)CC(OC(=O)CSc2ncnc(NC)n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.125
C=CC1(C)CC(OC(=O)CSc2ncnc(NCC)n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.125
C=CC1(C)CC(OC(=O)CSc2ncnc(N(C)C)n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.0313
C=CC1(C)CC(OC(=O)CSc2ncnc(N(CC)CC)n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.125
C=CC1(C)CC(OC(=O)CSc2ncnc(N3CCCC3)n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.125
C=CC1(C)CC(OC(=O)CSc2ncnc(N3CCOCC3)n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.0625
C=CC1(C)CC(OC(=O)CSc2ncnc(N3CCCCC3)n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.0625
C=CC1(C)CC(OC(=O)CSc2ncnc(N3CCNCC3)n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,1
C=CC1(C)CC(OC(=O)CSc2ncnc(N3CCN(C)CC3)n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.125
C=CC1(C)CC(OC(=O)CSc2ncnc(OC)n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.125
C=CC1(C)CC(OC(=O)CSc2ncnc(OCC)n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.125
C=CC1(C)CC(OC(=O)CSc2ncnc(OCCCC)n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.125
C=CC1(C)CC(OC(=O)CSc2ncnc(NCCNC)n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.0625
C=CC1(C)CC(OC(=O)CSc2ncnc(NCCN(C)C)n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.0313
